id_catalogo,cd_opcion,cc_externa,df_baja,cve_usuario,id_catalogo_padre,cd_descripcionDos,cc_externaDos,LOCK_FLAG
19,"Coordinar la gestión interna",280,NULL,superusuario,1,NULL,NULL,NULL
20,"Desarrollar herramientas de apoyo para el seguimiento de la mejora continua de la educación",290,NULL,superusuario,1,NULL,NULL,NULL
21,"No aplica",300,NULL,superusuario,1,NULL,NULL,NULL
22,"Catálogo de Tipo de Producto",2,NULL,superusuario,NULL,NULL,NULL,NULL
23,Intermedio,110,NULL,superusuario,22,NULL,NULL,NULL
24,Final,120,NULL,superusuario,22,NULL,NULL,NULL
25,Periódico,130,NULL,superusuario,22,NULL,NULL,NULL
26,"Catalogo Tipo de Producto Intermedio",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
27,"Acta de sesión",110,NULL,Superusuario,26,NULL,NULL,NULL
28,"Agenda de visitas a los estados",120,NULL,Superusuario,26,NULL,NULL,NULL
29,"Base de datos",130,NULL,Superusuario,26,NULL,NULL,NULL
30,"Bases de datos",140,NULL,Superusuario,26,NULL,NULL,NULL
31,Boletín,150,NULL,Superusuario,26,NULL,NULL,NULL
32,Catálogo,160,NULL,Superusuario,26,NULL,NULL,NULL
33,"Categorías de análisis",170,NULL,Superusuario,26,NULL,NULL,NULL
34,Contrato,180,NULL,Superusuario,26,NULL,NULL,NULL
35,Convenio,190,NULL,Superusuario,26,NULL,NULL,NULL
36,"Criterios operativos",200,NULL,Superusuario,26,NULL,NULL,NULL
37,Diagnóstico,210,NULL,Superusuario,26,NULL,NULL,NULL
38,"Estrategias de apoyo pedagógico",220,NULL,Superusuario,26,NULL,NULL,NULL
39,"Experiencias de las comunidades educativas",230,NULL,Superusuario,26,NULL,NULL,NULL
40,Folleto,240,NULL,Superusuario,26,NULL,NULL,NULL
41,"Informe de diseño de materiales o instrumentos",250,NULL,Superusuario,26,NULL,NULL,NULL
42,"Informe de evento",260,NULL,Superusuario,26,NULL,NULL,NULL
43,"Informe de pilotaje de instrumentos",270,NULL,Superusuario,26,NULL,NULL,NULL
44,"Informe de visitas estatales",280,NULL,Superusuario,26,NULL,NULL,NULL
45,"Informe de resultados de servicios brindados",290,NULL,Superusuario,26,NULL,NULL,NULL
46,"Informe para entidades externas",300,NULL,Superusuario,26,NULL,NULL,NULL
47,"Marco conceptual y/o metodológico",310,NULL,Superusuario,26,NULL,NULL,NULL
48,Memoria,320,NULL,Superusuario,26,NULL,NULL,NULL
49,"Memoria de evento",330,NULL,Superusuario,26,NULL,NULL,NULL
50,Metodología,340,NULL,Superusuario,26,NULL,NULL,NULL
51,"Propuesta de material o instrumento",350,NULL,Superusuario,26,NULL,NULL,NULL
52,Talleres,360,NULL,Superusuario,26,NULL,NULL,NULL
53,"Terminos de referencia",370,NULL,Superusuario,26,NULL,NULL,NULL
54,Otro,380,NULL,Superusuario,26,NULL,NULL,NULL
55,"Catalogo Tipo de Producto Final",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
56,Criterios,110,NULL,Superusuario,55,NULL,NULL,NULL
57,"Criterios de operación",120,NULL,Superusuario,55,NULL,NULL,NULL
58,"Criterios de regulación institucional",130,NULL,Superusuario,55,NULL,NULL,NULL
59,"Cuaderno Estadístico",140,NULL,Superusuario,55,NULL,NULL,NULL
60,"Documento de fortalecimiento institucional",150,NULL,Superusuario,55,NULL,NULL,NULL
61,Estatuto,160,NULL,Superusuario,55,NULL,NULL,NULL
62,Estrategia,170,NULL,Superusuario,55,NULL,NULL,NULL
63,"Estrategia institucional",180,NULL,Superusuario,55,NULL,NULL,NULL
64,Estudio,190,NULL,Superusuario,55,NULL,NULL,NULL
65,Evaluación,200,NULL,Superusuario,55,NULL,NULL,NULL
66,Indicadores,210,NULL,Superusuario,55,NULL,NULL,NULL
67,"Informe de publicaciones",220,NULL,Superusuario,55,NULL,NULL,NULL
68,"Informe de resultados",230,NULL,Superusuario,55,NULL,NULL,NULL
69,"Informe de seguimiento de convenios",240,NULL,Superusuario,55,NULL,NULL,NULL
70,"Informe de seguimiento y mejora",250,NULL,Superusuario,55,NULL,NULL,NULL
71,"Intervención formativa",260,NULL,Superusuario,55,NULL,NULL,NULL
72,Investigación,270,NULL,Superusuario,55,NULL,NULL,NULL
73,Lineamientos,280,NULL,Superusuario,55,NULL,NULL,NULL
74,"Marco rector",290,NULL,Superusuario,55,NULL,NULL,NULL
75,"Material prototipo",300,NULL,Superusuario,55,NULL,NULL,NULL
76,"Modelo Interno",310,NULL,Superusuario,55,NULL,NULL,NULL
77,"Orientaciones finales",320,NULL,Superusuario,55,NULL,NULL,NULL
78,"Padrón nacional",330,NULL,Superusuario,55,NULL,NULL,NULL
79,Plan,340,NULL,Superusuario,55,NULL,NULL,NULL
80,"Plan o programa institucional",350,NULL,Superusuario,55,NULL,NULL,NULL
81,"Política institucional",360,NULL,Superusuario,55,NULL,NULL,NULL
82,"Procedimiento Institucional",370,NULL,Superusuario,55,NULL,NULL,NULL
83,Programa,380,NULL,Superusuario,55,NULL,NULL,NULL
84,"Programa de trabajo",390,NULL,Superusuario,55,NULL,NULL,NULL
85,"Programa Editorial Anual",400,NULL,Superusuario,55,NULL,NULL,NULL
86,Protocolo,410,NULL,Superusuario,55,NULL,NULL,NULL
87,"Sistema Tecnológico",420,NULL,Superusuario,55,NULL,NULL,NULL
88,Sugerencias,430,NULL,Superusuario,55,NULL,NULL,NULL
89,Otro,440,NULL,Superusuario,55,NULL,NULL,NULL
90,"Catalogo Tipo de Producto Periódico",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
91,"Informe de gestión",110,NULL,Superusuario,90,NULL,NULL,NULL
92,"Informe de seguimiento",120,NULL,Superusuario,90,NULL,NULL,NULL
93,"Reporte de avances",130,NULL,Superusuario,90,NULL,NULL,NULL
94,"Reporte del avance de documentos",140,NULL,Superusuario,90,NULL,NULL,NULL
95,Otro,150,NULL,Superusuario,90,NULL,NULL,NULL
96,"Catalogo Estatus de Producto",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
97,Elaborado,110,NULL,Superusuario,96,NULL,NULL,NULL
98,"Aprobado por Junta Directiva",120,NULL,Superusuario,96,NULL,NULL,NULL
99,"Difundido (internamente)",130,NULL,Superusuario,96,NULL,NULL,NULL
100,"Publicado (en internet, DOF, con ISBN)",140,NULL,Superusuario,96,NULL,NULL,NULL
101,"Catalogo Tipo/Nivel Educativo",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
102,Inicial,13,NULL,Superusuario,101,NULL,NULL,NULL
103,Preescolar,14,NULL,Superusuario,101,NULL,NULL,NULL
104,Primaria,15,NULL,Superusuario,101,NULL,NULL,NULL
105,Secundaria,16,NULL,Superusuario,101,NULL,NULL,NULL
106,Básica,17,NULL,Superusuario,101,NULL,NULL,NULL
107,"Media Superior",18,NULL,Superusuario,101,NULL,NULL,NULL
108,"Básica y Medio Superior",19,NULL,Superusuario,101,NULL,NULL,NULL
109,Otro,20,NULL,Superusuario,101,NULL,NULL,NULL
110,"No Aplica",36,NULL,Superusuario,101,NULL,NULL,NULL
111,"Otros Servicios Educativos y Actividades Inherentes",37,NULL,Superusuario,101,NULL,NULL,NULL
112,"Catalogo Campo de acción preponderante al que va dirigido",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
113,"Trabajo docente",10,NULL,Superusuario,112,NULL,NULL,NULL
114,"Formación continua y desarrollo profesional docente",20,NULL,Superusuario,112,NULL,NULL,NULL
115,"Participación estudiantil",30,NULL,Superusuario,112,NULL,NULL,NULL
116,"Participación social",40,NULL,Superusuario,112,NULL,NULL,NULL
117,"Diseño curricular",50,NULL,Superusuario,112,NULL,NULL,NULL
118,"Desarrollo de materiales educativos",60,NULL,Superusuario,112,NULL,NULL,NULL
119,"Gestión educativa y escolar",70,NULL,Superusuario,112,NULL,NULL,NULL
120,Otros,80,NULL,Superusuario,112,NULL,NULL,NULL
121,"Catalogo Actor educativo preponderante",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
122,Estudiantes,10,NULL,Superusuario,121,NULL,NULL,NULL
123,"Maestras y maestros",20,NULL,Superusuario,121,NULL,NULL,NULL
124,"Autoridades escolares",30,NULL,Superusuario,121,NULL,NULL,NULL
125,"Madres, padres de familia y tutores",40,NULL,Superusuario,121,NULL,NULL,NULL
126,"Personal de acompañamiento y apoyo pedagógico",50,NULL,Superusuario,121,NULL,NULL,NULL
127,"Profesoras y profesores formadores de docentes. Maestros y maestras de educación superior",60,NULL,Superusuario,121,NULL,NULL,NULL
128,"Autoridades educativas estatales",70,NULL,Superusuario,121,NULL,NULL,NULL
129,"Autoridades educativas federales",80,NULL,Superusuario,121,NULL,NULL,NULL
130,"Catalogo Ámbito de participación y responsabilidad",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
131,Escuela,10,NULL,Superusuario,130,NULL,NULL,NULL
132,"Zona escolar",20,NULL,Superusuario,130,NULL,NULL,NULL
133,"Sector escolar",30,NULL,Superusuario,130,NULL,NULL,NULL
134,"Sistema educativo estatal",40,NULL,Superusuario,130,NULL,NULL,NULL
135,"Sistema Educativo Nacional",50,NULL,Superusuario,130,NULL,NULL,NULL
136,"Catalogo Continuidad con otros productos de años anteriores",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
137,"¡Hagamos comunidad! Estrategias de apoyo pedagógico EB",10,NULL,Superusuario,136,NULL,NULL,NULL
138,"¡Hagamos comunidad! Estrategias de apoyo pedagógico EMS",20,NULL,Superusuario,136,NULL,NULL,NULL
139,"Apartados introductorios y normatividad de los procesos de selección para la admisión, promoción y reconocimiento en educación básica y media superior ",30,NULL,Superusuario,136,NULL,NULL,NULL
140,"Avanzar en la implementación del Sistema de monitoreo de políticas y programas educativos en las escuelas",40,NULL,Superusuario,136,NULL,NULL,NULL
141,"Comunidades escolares al inicio del confinamiento por SARS-CoV-2.
Cuaderno de Investigación Educativa
Voces y perspectivas de los actores
Informe ejecutivo",50,NULL,Superusuario,136,NULL,NULL,NULL
142,"Convenio de colaboración Mejoredu-SE Gobierno de Veracruz",60,NULL,Superusuario,136,NULL,NULL,NULL
143,"Convenio general de colaboración Conalep-Mejoredu",70,NULL,Superusuario,136,NULL,NULL,NULL
144,"Convenio general de colaboración SEPEN Nayarit-Mejoredu",80,NULL,Superusuario,136,NULL,NULL,NULL
145,"Convenio Mejoredu-Conafe",90,NULL,Superusuario,136,NULL,NULL,NULL
146,"Convenio Mejoredu-IFOPIM Estado de México",100,NULL,Superusuario,136,NULL,NULL,NULL
147,"CRITERIOS Generales de los programas de formación continua y desarrollo profesional docente, y para la valoración de su diseño, operación y resultados en educación básica y media superior. CGPFCDPD-2021.",110,NULL,Superusuario,136,NULL,NULL,NULL
148,"Definiciones fundamentales para la evaluación diagnóstica",120,NULL,Superusuario,136,NULL,NULL,NULL
149,"Desarrollar investigación sobre la participación estudiantil en educación media superior. Informe final",130,NULL,Superusuario,136,NULL,NULL,NULL
150,"Desarrollar investigación sobre la violencia escolar en educación secundaria. Informe final",140,NULL,Superusuario,136,NULL,NULL,NULL
151,"Desarrollar la estrategia de evaluación integral de la educación básica y media superior Informe Final",150,NULL,Superusuario,136,NULL,NULL,NULL
152,"Desarrollar la estrategia interinstitucional para el desarrollo estudios, investigaciones especializadas y evaluaciones educativas",160,NULL,Superusuario,136,NULL,NULL,NULL
153,"Desarrollar la Red de apoyo a la evaluación y la investigación educativa con autoridades educativas estatales",170,NULL,Superusuario,136,NULL,NULL,NULL
154,"Docentes que leen y escriben.
La lectura y la escritura en 1° y 2° grados de educación primaria",180,NULL,Superusuario,136,NULL,NULL,NULL
155,"El sentido de la tarea docente en tiempos de contingencia. Educación básica.
Talleres emergentes de formación docente. Itinerarios para el reencuentro",190,NULL,Superusuario,136,NULL,NULL,NULL
156,"Enseñanza y aprendizaje en tiempos de contingencia. Educación media superior.
Talleres emergentes de formación docente. Itinerarios para el reencuentro",200,NULL,Superusuario,136,NULL,NULL,NULL
157,"Estrategias, prototipos y recursos para la formación y desarrollo profesional de los actores educativos. Orientaciones de política educativa.",210,NULL,Superusuario,136,NULL,NULL,NULL
158,"Estudio exploratorio sobre la evaluación de aprendizajes básicos de los estudiantes de educación indígena y multigrado, considerando sus contextos socioculturales. Informe final (Documento interno)",220,NULL,Superusuario,136,NULL,NULL,NULL
159,"Estudio sobre la implementación de modelos híbridos de enseñanza y aprendizaje en la educación primaria. Informe final",230,NULL,Superusuario,136,NULL,NULL,NULL
160,"Evaluación diagnóstica de escuelas. Modelo de evaluación diagnóstica para la mejora de las escuelas, sus recursos y procesos escolares (MERPE)",240,NULL,Superusuario,136,NULL,NULL,NULL
161,"Experiencias de las comunidades educativas durante la contingencia sanitaria por covid-19.
Educación Básica. (Documento Informe Ejecutivo)",250,NULL,Superusuario,136,NULL,NULL,NULL
162,"Experiencias de las comunidades educativas durante la contingencia sanitaria por covid-19.
Educación Media Superior. Cuaderno de Investigación Educativa",260,NULL,Superusuario,136,NULL,NULL,NULL
163,"Indicadores Estatales de la mejora continua de la educación
32 cuadernos (Quintana Roo, Sonora, Sinaloa, Tabasco, Tamaulipas, San Luis Potosí, Querétaro, Yucatán, Puebla, Oaxaca, Morelos, Zacatecas, Nuevo León, Nayarit, Michoacán, México, Jalisco, Hidalgo, Guerrero, Guanajuato, Durango, Colima, Coahuila, Chihuahua, Veracruz, Tlaxcala, Ciudad de México, Chiapas, Campeche, Baja California Sur, Baja California y Aguascalientes)",270,NULL,Superusuario,136,NULL,NULL,NULL
164,"Indicadores nacionales de la mejora continua de la educación en México 2021. Cifras del ciclo escolar 2019-2020",280,NULL,Superusuario,136,NULL,NULL,NULL
165,"Índice de capacidades institucionales en materia de formación continua de docentes de educación básica Informe de la consulta sobre las características, funcionamiento y retos de las áreas estatales de formación continua",290,NULL,Superusuario,136,NULL,NULL,NULL
166,"Informe de los programas y opciones de formación continuapara docentes de educación básica 2021",300,NULL,Superusuario,136,NULL,NULL,NULL
167,"Informe del Foro Temático “La educación al alcance de todas y todos los niños, niñas y adolescentes (NNA) migrantes: desafíos y alternativas""",310,NULL,Superusuario,136,NULL,NULL,NULL
168,"Informe final de la evaluación diagnóstica de aprendizaje de los estudiantes",320,NULL,Superusuario,136,NULL,NULL,NULL
169,"Informe final para la evaluación diagnóstica del trabajo docente",330,NULL,Superusuario,136,NULL,NULL,NULL
170,"INFORME FINAL USAER Evaluación diagnóstica del proceso de atención de la USAER en escuelas primarias",340,NULL,Superusuario,136,NULL,NULL,NULL
171,"Informe preliminar del desarrollo del modelo de evaluación diagnóstica del trabajo docente",350,NULL,Superusuario,136,NULL,NULL,NULL
172,"Intervención formativa Fase I. Del tránsito de docente en formación a docente en servicio
La inserción como proceso formativo para la mejora de la práctica docente. EB",360,NULL,Superusuario,136,NULL,NULL,NULL
173,"Intervención formativa Fase I. Inserción de directivos en su primer año de servicio EMS",370,NULL,Superusuario,136,NULL,NULL,NULL
174,"Intervención formativa Fase I. Inserción de docentes en su primer año de servicio EMS",380,NULL,Superusuario,136,NULL,NULL,NULL
175,"Intervención formativa. Fase I
Del tránsito de docente a director escolar
La inserción como proceso formativo para la mejora de la práctica directiva",390,NULL,Superusuario,136,NULL,NULL,NULL
176,"Investigación sobre características y trayectorias profesionales de directores y figuras académicas de apoyo en la Educación Media Superior. Informe final",400,NULL,Superusuario,136,NULL,NULL,NULL
177,"Investigación sobre las características, trayectorias y condiciones de los agentes educativos de los servicios de educación inicial. Informe final",410,NULL,Superusuario,136,NULL,NULL,NULL
178,"La Formación Continua y el Desarrollo Profesional Docente en el Contexto de Nuevas Normalidades.
Ciclo Iberoamericano de Encuentros con Especialistas",420,NULL,Superusuario,136,NULL,NULL,NULL
179,"La violencia entre estudiantes de educación básica y media superior en México. (Cuaderno de Investigación Educativa) (Informe Ejecutivo)",430,NULL,Superusuario,136,NULL,NULL,NULL
180,"Liderazgo directivo en tiempos de contingencia. Educación básica.
Talleres emergentes de formación docente. Itinerarios para el reencuentro",440,NULL,Superusuario,136,NULL,NULL,NULL
181,"Lineamientos para fortalecer el desarrollo profesional de directores escolares durante su proceso de inserción a las escuelas de educación básica. (Versión para revisión)",450,NULL,Superusuario,136,NULL,NULL,NULL
182,"Lineamientos para Fortalecer el Desarrollo Profesional de Docentes durante su Proceso de Inserción a las Escuelas de Educación Básica. (Versión para revisión)",460,NULL,Superusuario,136,NULL,NULL,NULL
183,"Lineamientos para la mejora de las competencias para la gestión y el liderazgo en los procesos de inserción a la dirección escolar en la EMS. Versión preliminar",470,NULL,Superusuario,136,NULL,NULL,NULL
184,"Lineamientos para la mejora del proceso de inserción a la docencia y a la función directiva. Educación básica",480,NULL,Superusuario,136,NULL,NULL,NULL
185,"Lineamientos para la mejora del proceso de inserción a la docencia y a la función directiva. Educación media superior",490,NULL,Superusuario,136,NULL,NULL,NULL
186,"LINEAMIENTOS para la Mejora e Innovación en Materiales educativos: Libros de Texto Gratuitos de preescolar, primaria y telesecundaria. Versión preliminar",500,NULL,Superusuario,136,NULL,NULL,NULL
187,"Los equipos directivos en tiempos de contingencia. Educación media superior.
Talleres emergentes de formación docente. Itinerarios para el reencuentro",510,NULL,Superusuario,136,NULL,NULL,NULL
188,"Mi inicio en la docencia. Educación básica",520,NULL,Superusuario,136,NULL,NULL,NULL
189,"Mi inicio en la docencia. Educación media superior",530,NULL,Superusuario,136,NULL,NULL,NULL
190,"Modelo de evaluación de centros escolares de Educación Media Superior (Documento en desarrollo)",540,NULL,Superusuario,136,NULL,NULL,NULL
191,"Modelo de Evaluación Diagnóstica de Docentes (Marco de referencia. Documento en desarrollo)",550,NULL,Superusuario,136,NULL,NULL,NULL
192,"Modelo interno para el monitoreo de los Criterios, lineamientos y programas de Formación continua y Desarrollo profesional docente que emita la MEJOREDU",560,NULL,Superusuario,136,NULL,NULL,NULL
193,"Modelo interno para la elaboración de programas de formación continua y desarrollo profesional docente. Educación básica y media superior",570,NULL,Superusuario,136,NULL,NULL,NULL
194,"Modelo interno para la formulación de sugerencias para la mejora de la educación inicial, básica, media superior, inclusiva y de adultos. (borrador)",580,NULL,Superusuario,136,NULL,NULL,NULL
195,"Modelo para el desarrollo de materiales prototipo para la mejora de continua de la educación (preeliminar)",590,NULL,Superusuario,136,NULL,NULL,NULL
196,"Modelo para el desarrollo de procesos de monitoreo de la implementación de criterios, lineamientos y programas de formación continua y desarrollo profesional docente. (Documento de trabajo).",600,NULL,Superusuario,136,NULL,NULL,NULL
197,"Modelo para el diseño y emisión de programas de formación continua y desarrollo profesional de docentes",610,NULL,Superusuario,136,NULL,NULL,NULL
198,"Modelo para el diseño y emisión de programas de formación continua y desarrollo profesional de docentes Versión para revisar ",620,NULL,Superusuario,136,NULL,NULL,NULL
199,"Padrón nacional de la oferta de formación continua de docentes marco conceptual y metodológico",630,NULL,Superusuario,136,NULL,NULL,NULL
200,"Percepciones, prácticas y determinantes sociales. Informe final.",640,NULL,Superusuario,136,NULL,NULL,NULL
201,"PLAN DE MEJORA DE LA FORMACIÓN CONTINUA Y DESARROLLO PROFESIONAL DOCENTE 2021 – 2026",650,NULL,Superusuario,136,NULL,NULL,NULL
202,"Programa de formación para la inserción de directivos 2021-2026 EMS",660,NULL,Superusuario,136,NULL,NULL,NULL
203,"Programa de formación para la inserción de directores 2021-2026 EB",670,NULL,Superusuario,136,NULL,NULL,NULL
204,"Programa de formación para la inserción de docentes 2021-2026 EB",680,NULL,Superusuario,136,NULL,NULL,NULL
205,"Programa de formación para la inserción de docentes 2021-2026 EMS",690,NULL,Superusuario,136,NULL,NULL,NULL
206,"PROGRAMA DE FORMACIÓN SITUADA DE DIRECTIVOS EN SERVICIO EDUCACIÓN BÁSICA",700,NULL,Superusuario,136,NULL,NULL,NULL
207,"PROGRAMA DE FORMACIÓN SITUADA DE DIRECTIVOS EN SERVICIO EDUCACIÓN MEDIA SUPERIOR",710,NULL,Superusuario,136,NULL,NULL,NULL
208,"PROGRAMA DE FORMACIÓN SITUADA DE DOCENTES EN SERVICIO 2021-2026 EDUCACIÓN MEDIA SUPERIOR",720,NULL,Superusuario,136,NULL,NULL,NULL
209,"PROGRAMA DE FORMACIÓN SITUADA DE DOCENTES EN SERVICIO
EDUCACIÓN BÁSICA",730,NULL,Superusuario,136,NULL,NULL,NULL
210,"Realizar estudio sobre condiciones institucionales para el trabajo colaborativo y la formación situada de docentes en educación básica y media superior",740,NULL,Superusuario,136,NULL,NULL,NULL
211,"Realizar investigación sobre los docentes en educación media superior: características, diversidad y condiciones de trabajo",750,NULL,Superusuario,136,NULL,NULL,NULL
212,"Redes para el desarrollo profesional docente. Documento de trabajo.",760,NULL,Superusuario,136,NULL,NULL,NULL
213,"Repensar la evaluación para la mejora educativa.
Resultados de México en PISA 2018
Resultados de evaluaciones, diagnósticas, formativas e integrales",770,NULL,Superusuario,136,NULL,NULL,NULL
214,"Repositorio de materiales educativos",780,NULL,Superusuario,136,NULL,NULL,NULL
215,"segundo Ciclo Iberoamericano de Encuentros con Especialistas denominado, “Un paso delante de la educación remota de emergencia: repensar el sentido de las tecnologías, la escuela y la formación docente”",790,NULL,Superusuario,136,NULL,NULL,NULL
216,"Sugerencias de elementos para la mejora de plan y programas de estudio de educación básica: análisis y propuestas en torno a los contenidos curriculares",800,NULL,Superusuario,136,NULL,NULL,NULL
217,"Sugerencias de elementos para la mejora del Marco Curricular Común de Educación Media Superior",810,NULL,Superusuario,136,NULL,NULL,NULL
218,"Sugerencias para la educación inicial: hacia la concreción de un derecho",820,NULL,Superusuario,136,NULL,NULL,NULL
219,"Sugerencias para la mejora de los planes y programas de estudio de educación básica para favorecer la atención educativa de pueblos y comunidades indígenas",830,NULL,Superusuario,136,NULL,NULL,NULL
220,"Talleres emergentes de formación docente. Itinerarios para el reencuentro. Arte, educación y emociones
 EB y EMS",840,NULL,Superusuario,136,NULL,NULL,NULL
221,"Talleres emergentes de formación docente. Itinerarios para el reencuentro.
Sistematización de la experiencia educativa. Educación básica y educación media superior. ",850,NULL,Superusuario,136,NULL,NULL,NULL
222,"Tercer Convenio Específico al Convenio Marco de Colaboración MEJOREDU/DGAJ/CV/2020/03 celebrado entre Mejoredu y la Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura.",860,NULL,Superusuario,136,NULL,NULL,NULL
223,"No aplica",870,NULL,Superusuario,136,NULL,NULL,NULL
224,"Catalogo Centros de costo",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
225,"Junta Directiva",1100P16,NULL,Superusuario,224,"1100P16 Junta Directiva",12,NULL
226,"Secretaría Ejecutiva",1200P16,NULL,Superusuario,224,"1200P16 Secretaría Ejecutiva",13,NULL
227,"Administración y Finanzas",1210M01,NULL,Superusuario,224,"1210M01 Administración y Finanzas",14,NULL
228,"Evaluación Diagnóstica",2100P16,NULL,Superusuario,224,"2100P16 Evaluación Diagnóstica",15,NULL
229,"Apoyo y Seguimiento a la Mejora Continua e Innovación Educativa",3100P16,NULL,Superusuario,224,"3100P16 Apoyo y Seguimiento a la Mejora Continua e Innovación Educativa",16,NULL
230,"Vinculación e Integralidad del Aprendizaje",4100P16,NULL,Superusuario,224,"4100P16 Vinculación e Integralidad del Aprendizaje",17,NULL
231,"Órgano Interno de Control",5100O01,NULL,Superusuario,224,"5100O01 Órgano Interno de Control",18,NULL
232,"Catalogo de Partidas Presupuestales",NULL,NULL,Superusuario,NULL,NULL,NULL,NULL
233,Haberes,11201,NULL,Superusuario,232,"11201 Haberes",384,NULL
234,"Sueldos base",11301,NULL,Superusuario,232,"11301 Sueldos base",355,NULL
235,"Retribuciones por adscripción en el extranjero",11401,NULL,Superusuario,232,"11401 Retribuciones por adscripción en el extranjero",356,NULL
236,Honorarios,12101,NULL,Superusuario,232,"12101 Honorarios",357,NULL
237,"Sueldos base al personal eventual",12201,NULL,Superusuario,232,"12201 Sueldos base al personal eventual",358,NULL
238,"Compensaciones a sustitutos de profesores",12202,NULL,Superusuario,232,"12202 Compensaciones a sustitutos de profesores",359,NULL
239,"Retribuciones por servicios de carácter social",12301,NULL,Superusuario,232,"12301 Retribuciones por servicios de carácter social",360,NULL
240,"Retribución a los representantes de los trabajadores y de los patrones en la Junta Federal de Conciliación y Arbitraje",12401,NULL,Superusuario,232,"12401 Retribución a los representantes de los trabajadores y de los patrones en la Junta Federal de Conciliación y Arbitraje",361,NULL
241,"Prima quinquenal por años de servicios efectivos prestados",13101,NULL,Superusuario,232,"13101 Prima quinquenal por años de servicios efectivos prestados",362,NULL
242,"Acreditación por años de servicio en la docencia y al personal administrativo de las instituciones de educación superior",13102,NULL,Superusuario,232,"13102 Acreditación por años de servicio en la docencia y al personal administrativo de las instituciones de educación superior",363,NULL
243,"Prima de perseverancia por años de servicio activo en el Ejército, Fuerza Aérea y Armada Mexicanos",13103,NULL,Superusuario,232,"13103 Prima de perseverancia por años de servicio activo en el Ejército, Fuerza Aérea y Armada Mexicanos",364,NULL
244,Antigüedad,13104,NULL,Superusuario,232,"13104 Antigüedad",365,NULL
245,"Primas de vacaciones y dominical",13201,NULL,Superusuario,232,"13201 Primas de vacaciones y dominical",366,NULL
246,"Aguinaldo o gratificación de fin de año",13202,NULL,Superusuario,232,"13202 Aguinaldo o gratificación de fin de año",367,NULL
247,"Remuneraciones por horas extraordinarias",13301,NULL,Superusuario,232,"13301 Remuneraciones por horas extraordinarias",368,NULL
